"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1954,38.5,68.3,113.7,64.2,33.1,45.4,112,46.7,58.6,45.1,42.9,75.4,56.9,44.1,47,95.3,79.2,36.8,33.1
"historical",1955,69.8,66.8,36.9,61.1,67.3,46.4,87.3,63.3,46.9,59.6,49.1,124.2,84,53.7,74.4,96.8,78.4,48.1,36.9
"historical",1956,20.1,88,72.9,51.5,53.8,78.3,86.9,48.7,46.9,69.1,42.5,91.4,20.3,57.9,28.2,89.3,48.1,36.3,20.1
"historical",1957,32.5,63.6,99.9,51.6,56.9,76.8,90.2,39.4,56.3,80.7,34.1,103.5,47.3,42,31.2,95.4,60.2,51,31.2
"historical",1958,48,78.1,118.6,28.4,59.4,58.1,99,40.8,71.1,47.5,69.7,91.8,38.8,51.1,62.5,49,34.7,34,28.4
"historical",1959,50.4,58.8,88.9,54.7,49.2,21.1,89.2,72.9,56.2,70.1,45.1,118.1,45,64.8,64.7,110.3,111.9,41.6,21.1
"historical",1960,47.9,74.8,75.3,63.7,48.1,61.7,89,46.2,53,60,34.4,77.2,45.3,61.2,47.7,125.2,53,52.8,34.4
"historical",1961,78.3,68.1,89.8,46.8,43.6,59.2,36.8,56.9,43.8,36.4,45,78.4,74.3,39.2,64,68.4,33.1,40.1,33.1
"historical",1962,34.2,90.6,80.5,51.3,35.1,57.6,81.9,65.4,68.2,43.7,17.2,103.9,45.6,68.1,58.5,56.9,78.2,37.1,17.2
"historical",1963,60.3,46.2,108.3,53.8,59.9,51.4,97.7,55,46.1,44.3,44.3,63.9,39.7,62.7,56.1,50.3,47.6,56.9,39.7
"historical",1964,46.2,100,143.3,70.6,45.2,53.7,69.1,58.7,23.6,49,57.4,118.3,43.2,59.6,42.8,91.7,72.6,68.8,23.6
"historical",1965,74.2,47.9,81.6,48.6,47.6,26.4,102,57.6,33.2,47.9,46.2,79.8,39.5,16.3,56.3,80.4,68.7,41.3,16.3
"historical",1966,22.6,129.4,136.4,63.6,44,38.4,83.9,58.2,38,50.2,50.6,65.6,59.6,67.2,61.7,60.1,86.2,41.5,22.6
"historical",1967,42.5,68.9,103.9,49.4,50.6,14.8,106,57.5,51.6,52.3,40.2,120.5,53.6,90.7,27.2,87,38.2,36.2,14.8
"historical",1968,50.1,78,120.2,63.9,36.6,52.5,50.9,66.4,44.9,47.4,31.9,95.1,22.3,57.2,43.9,62.6,64.9,48.8,22.3
"historical",1969,31.2,83.9,85.5,45.2,17,66.9,79.6,62,76.6,88.8,45.9,114.9,50.1,68.5,43.6,52.5,22.3,51.2,17
"historical",1970,27.1,52.7,58.9,38.5,47.2,14,69.9,36.6,47.9,56.5,47.4,66.8,50,39.5,66.2,94.1,76.8,32.8,14
"historical",1971,66.5,60.7,83.6,61.4,17.5,27.8,134.4,49.9,50.1,41.8,21.8,80.9,46.8,61.1,43.2,123.9,44.5,31.7,17.5
"historical",1972,66,48.7,107.3,71.2,42.4,27.3,78.5,51.5,29.5,36.6,56.5,91.7,48.3,35.6,45.7,87,92.4,56.5,27.3
"historical",1973,63.3,82.9,66.5,48.4,65.6,52.8,98.8,49.1,19.7,63,36.8,90.8,70.8,73.5,51,78.9,83.9,56.7,19.7
"historical",1974,71.1,61.6,101.8,57.4,50.3,75.3,97.3,38.2,37.3,90.6,48.9,110.4,49.9,41.2,55.8,101,44,50.8,37.3
"historical",1975,61.3,55.9,51.8,44.8,65.7,48.2,125.7,24.2,29.2,39.2,66,73.7,74.1,44.1,67.6,84.2,120,30.7,24.2
"historical",1976,42.2,72.1,90.3,46.1,71.9,49.8,87.6,5.6,59.6,39.5,29,93.9,41.3,50.8,52.5,82.3,99,27.8,5.6
"historical",1977,55.4,65,107.1,64.3,68.3,54.7,79.6,38.9,77.6,47.9,45,64.6,49.6,73.4,71,60,65.1,37,37
"historical",1978,64.6,61.5,89.9,64.4,25.3,65.5,112.9,41.6,66.9,46.6,44.9,91.3,43.9,55.3,29.8,92.9,49.5,32.5,25.3
"historical",1979,24.1,59.9,74.1,62.1,45.8,27.2,124.5,46.5,60.9,41.1,17.1,85.9,37.1,42.9,28.4,35.1,73.1,31.8,17.1
"historical",1980,73.1,73,86.8,18.7,74.8,53.8,103.7,58.1,43.1,23,61.1,85.1,74,61.8,59.8,62.7,103.3,33.6,18.7
